title,source,date,time,category,sub-category,content,url
"Jangan Panik, Ini Tips Mengatasi Anak Rewel Akibat Demam Tinggi",fimela.com,13 Sep 2019,16:30 WIB,Parenting,-," , , pada anak sebenarnya merupakan gangguan kesehatan yang paling umum. Jika tidak terkait pada penyakit lainnya, sebenarnya demam akan cepat turun dengan penanganan dari dokter dan dukungan dari ibu yang tepat. Namun, kerap kali anak rewel, menangis, dan menolak semua obat serta makanan saat demam tinggi. Hal ini mendorong ibu untuk ikut panik, sedih, dan cemas, bahkan hingga menangis. ,Sebenarnya, menurut Jovita Ferliana, M.Psi, Psikolog Anak, ibu yang mengalami serangan panik ketika anak demam dan rewel merupakan hal yang wajar. Apa lagi, jika hal ini pertama kali dialami sang anak. ,""Ibu-ibu wajar kalau mengalami panik, sedih, dan cemas, bahkan sampai nangis saat anak demam. Apa lagi kalau anak pertama. Namun sikap ini biasanya justru membuat ibu bingung untuk mencari solusi dan pengobatan yang tepat buat anak,"" jelasnya pada acara peluncurkan Hansaplast Cooling Fever dengan karakter Disney. ,Untuk itu, Christopher Vierhaus, Marketing Director Hansaplast mengatakan, Hansaplast kini meluncurkan Hansaplast Cooling Fever dengan karakter Disney yang membantu anak menjadi lebih tenang dan tidak rewel pada saat mengalami demam. ,""Produk baru ini diperuntukkan bagi ibu yang baru pertama kali memiliki anak. Terutama untuk ibu yang tidak tahu harus berbuat apa ketika anaknya terserang ,,"" jelasnya. ,Menurut Jovita, suhu badan yang tinggi bukan hanya satu-satunya tanda anak mengalami demam. Ada beberapa perilaku dan perubahan pada anak ketika demam secara psikologis, antara lain, anak terlihat seperti kelelahan, lesu, kurang aktif, dan bagi beberapa anak, mereka ingin lebih dekat dengan ibu. ,""Kondisi ini menjadikan ibu turut panik dan cemas. Padahal, cemas dan panik sama sekali tidak membantu,"" jelasnya. ,Untuk itu, Tessa Indira, Junior Brand Manager Hansaplast menjelaskan, Hansaplast Cooling Fever dengan karakter Disney dapat menjadi pertolongan pertama untuk anak yang mengalami demam. Menurutnya, kompres demam ini hadir untuk membantu menenangkan anak yang demam dengan sensasi sejuh di dahi serta tekstur gel yang nyaman. Selain itu, aroma ,dan ,nya juga membantu anak lebih tenang. ,""Selain itu, karakter Disney Avengers dan Frozen yang disukai anak-anak membantu mengalihkan perhatian anak. Sehingga, anak akan lupa dengan demam dan perasaan tidak enak pada tubuhnya,"" jelas Tessa. ,Namun tentu saja, kompres demam ini hanya menjadi pertolongan pertama pada anak yang mengalami demam, agar tidak rewel dan merasa lebih nyaman. Ibu tetap harus mencari cara yang tepat secara medis untuk menurunkan demam anak. ,#Growfearless with FIMELA",https://www.fimela.com/parenting/read/4061453/jangan-panik-ini-tips-mengatasi-anak-rewel-akibat-demam-tinggi
FIMELA FEST 2019: Cara Menghindari Memukul Anak Ketika Orangtua Emosi,fimela.com,13 Sep 2019,14:30 WIB,Parenting,-," Mengasuh, memang tidak semudah yang dipikirkan, seperti halnya banyak perdebatan dengan pasangan tentang pola asuh hingga menahan emosi ketika anak rewel. Menahan emosi memang sangat penting, agar ketika anak nakal dan rewel sebagai orangtua kita tidak justru memukul anak tanpa disadari.,Karena berdasarkan penelitian mengungkapkan sangat tidak efektif jika anak diberikan hukuman fisik. Sayangnya, masih banyak orangtua berfikir jika hukuman fisik seperti memukul adalah cara yang dapat diterima dan bermanfaat untuk mendisiplinan anak.,Dilansir dari,, Jumat (13/9/2019), Sarah Conway, seorang psikolog dan pendiri Mindful Little Minds pun menjelaskan langkah-langkah atau tindakan yang dapat dilakukan orang tua untuk mencegah mereka menggunakan kekerasan fisik sebagai bentuk resolusi konflik.,""Orang tua yang memiliki dukungan dan akses ke sumber daya dapat membuat pilihan yang terinformasi, sadar dan disengaja,"" paparnya.,Conway mengatakan jika sahabat , adalah orang tua yang pernah memukul , mereka sebelumnya secara tanpa disadari, sangat penting baginya untuk mencari dukungan dan membangun jaringan dengan orang-orang yang dapat membantu.,""Sebagian besar dari kita bereaksi dalam kemarahan terhadap anak-anak kita dan menyerang karena kita merasa kewalahan dan tidak yakin harus berbuat apa lagi,"" katanya.,Ia menambahkan, ketika kita merasa marah dan kewalahan mengurus,, sebaiknya tarik nafas dalam-dalam agar lebih rileks.,""Untuk keluar dari kebiasaan merespons momen-momen ini dengan kemarahan atau kekerasan, orang tua memerlukan dukungan dan kita perlu meluangkan waktu untuk mengelola emosi dan perasaan stres sehingga dapat mengubah reaksi yang dilakukan,"" kata Conway.,Karena anak-anak tidak memiliki keterampilan komunikasi tertentu, mereka melakukan apa yang cenderung membuat orang tua mereka memperhatikannya seperti jatuh, menangis, merengek, atau berkelahi.,Menurut N'Jyia Shelton, seorang peneliti Pengembangan dan Pendidikan Anak Usia Dini, inilah saat-saat terbaik untuk memberikan diri sendiri sebagai orangtua, momen untuk bernafas dan mencoba untuk tenang sehingga dapat merespons anak dengan cara yang sehat.,Inilah saat mindfull parenting atau pengasuhan anak yang penuh perhatian, tindakan membawa prinsip perhatian penuh ke dalam interaksi dengan anak-anak, seperti ikut bermain.,“Ini tentang hadir sepenuhnya pada saat bersama anak. Ketika orangtua benar-benar hadir, dapat merespons kebutuhan mereka, daripada bereaksi dengan emosi. Ketika kita bereaksi terhadap emosi sendiri dan membiarkannya memengaruhi perilaku kita, alhasil kita akan memukul anak. Jika kita selalu hadir sepenuhnya untuk anak, respon memukul pun tidak dilakukan,"" paparnya.,Shelton juga mengatakan bahwa penting untuk mengetahui mengapa kita biasa saja jika menyakiti anak-anak kita. Ketika anak-anak kita berperilaku dengan cara yang membuat kita stres, penting untuk memperhatikan alasan mengapa mereka melakukan hal tersebut.,""Ketika seorang anak merasa cemas, respons stres mereka telah dipicu. Karena ini, seorang anak dapat menyerang dan menjadi agresif, atau mereka dapat berusaha untuk menghindari apa pun yang mereka takuti. Mereka berjuang untuk berurusan dengan emosi besar yang tidak mereka pahami,"" tutupnya.,Untuk memahami lebih dalam tentang ,, , dan raih kesempatan untuk menghadiri FIMELA FEST 2019., ,#Growfearless with Fimela",https://www.fimela.com/parenting/read/4061803/fimela-fest-2019-cara-menghindari-memukul-anak-ketika-orangtua-emosi
FIMELA FEST 2019: 3 Faktor yang Perlu Dipahami dalam Mindful Parenting,fimela.com,18 Sep 2019,11:00 WIB,Parenting,-," Berbicara soal pola asuh anak, , sedang menjadi topik pembahasan di banyak tempat. Pola asuh anak dengan metode , dirasa perlu dilakukan untuk orangtua jaman sekarang untuk pertumbuhan mental dan emosional sang anak.,Melansir dari Gottman pada Rabu (18/9/2019) dalam , terhadap tiga faktor utama. Apa saja?,Ketika sedang berargumen dengan anak, pikirkan perasaan apa yang mendorong terjadinya argumen. Apakah karena marah? Atau malu? Usahakan untuk tidak menghalangi atau menghentikan emosi anak. Jangan juga menghakimi atau menolak. Ingat bahwa kamu tidak perlu menyalahkan diri sendiri atau anak atas apa yang terjadi.,Cobalah untuk melihat konflik dari kacamata anak. Ketika kamu tidak bisa melihat hal yang baik dari pertengkaran itu dengan sang anak, pikirkan jika kamu berada di posisi anakmu., ,Bagian yang paling menantang adalah tetap tenang ketika marah. Fokuskan diri pada tubuh dan pola bernapas karena emosi bisa direndam dengan perubahan fisiologis yang menurunkan respon reflek kita.,Ketika kamu dapat mengontrol dan menahan respon, tubuh dan pikiran akan kembali sejalan untuk memilih respon mana yang akan diberikan. Mengingatkan diri untuk bernapas secara normal.,Tidak semua anak bisa mengelola perasaan mereka. Anak masih dalam tahap belajar dan memiliki prioritas yang berbeda dari yang kita lakukan. Mulailah untuk mendengarkan anak dengan seksama dan biarkan emosi terungkap dari dirinya.,Setelah itu, posisikan anak untuk mau mendengarkan orangtua dengan seksama. Sehingga menata kembali pikiran yang sekiranya salah di benak anak.Ingin tahu lebih banyak soal mindful parenting? ,.,#GrowFearless with Fimela",https://www.fimela.com/parenting/read/4064702/fimela-fest-2019-3-faktor-yang-perlu-dipahami-dalam-mindful-parenting
FIMELA Fest 2019: Mengasuh Anak Tanpa Emosi dengan Mindful Parenting,fimela.com,13 Sep 2019,20:30 WIB,Parenting,-," Tugas , bukan hanya sekadar menafkahi anak. Mendidik dan mengasuh anak dengan baik dan penuh kesadaran merupakan kewajiba setiap orangtua. Dalam proses pembelajaran dan tumbuh kembang, anak kerap memosisikan orangtua dalam suatu kondisi yang cukup membuat stres. ,Tak jarang orangtua terpancing situasi tersebut. Meski sudah berusaha untuk sabar meski sudah lelah bekerja seharian baik di kantor dan di rumah, orangtua kerap lepas kendali. Meskipun masalahnya sepele, seperti anak menumpahkan sereal ke lantai, atau anak menangis dan merengek sepanjang hari, stres ternyata kerap tak terelakkan.,Dilasnir dari Gottman.com, respon stres terhadap anak tantrum yang kamu berikan sebagai orangtua ternyata dipengaruhi banyak hal. Salah satunya pengalaman masa kecilmu. Karena itu, tidak heran jika ,mu bisa saja lebih cepat atau lambat dari orang lain. ,Seorang psikolog klinis yang mempelajari otak, Dr. Dan Siegel, menjelaskan kalau tidak jarang orangtua lepas kontrol ketika stres dan membiarkan emosi mengambil alih untuk mengontrol reaksi. Akibatnya, justru berimbas pada psikologis dan pola didik anak. Karena itu, mengatur emosi dan perilaku sangat penting dalam mendidik dan mengasuh anak. Konsep ini kerap disebut dengan ,atau , yang berkesadaran. ,Meskipun begitu, banyak orangtua yang salah kaprah mengartikan konsep ini. Konsep ,bukan berarti mengharuskanmu menjadi orangtua yang sempurna. ,Grottman.com menulis, menjalani konsep ini sangat tidak mudah. Namun, seperti aspek-aspek pola asuh anak lainnya, kamu sebenarnya bisa melatih diri untuk mengasuh anak tanpa harus melibatkan emosi negatif. ,Karena, ,berarti membawa atensi dan kesadaran terhadap apa yang sedang terjadi. Bukannya memutuskan dan beraksi tanpa sadar dan membiarkan emosi menentukan reaksimu terhadap situasi dan perbuatan anak-anak. ,Krsitin Race, seorang penulis buku Mindful Parenting: Simple and Powerful Solutions for Raising Creative, Engaged, Happy Kids in Today's Hectic World, mengatakan kepada Grottman.com mengenai 3 kunci yang harus dilakukan setiap orangtua untuk mempraktikkan ,1. Kenali perasaanmu sendiri ketika ada konflik dengan anak. Apakah kamu marah, sedih, malu, atau kesal? Kenali dulu sebelum kamu bertindak dan merespon terhadap situasi tersebut. ,2. Belajarlah untuk berhenti sejenak sebelum kamu merespon pakai emosi terhadap perilaku anak atau situasi kacau pada saat konflik terjadi. ,3. Terakhir, belajarlah untuk mendengarkan pendapat dan penjelasan anak, meskipun kamu tidak setuju dengannya. Kemudian, kamu bisa menjelaskan sudut pandangmu dan menjelaskan kepadanya dengan bahasa yang lebih sederhana dan mudah dimengerti anak. ,Ingin tahu lebih lanjut tentang, Daftarkan dirimu sekarang juga di , dan dapatkan kesempatan untuk hadir di Fimela Fest 2019!,#Growfearless with FIMELA",https://www.fimela.com/parenting/read/4062293/fimela-fest-2019-mengasuh-anak-tanpa-emosi-dengan-mindful-parenting
Orangtua Wajib Memberi Contoh jika Ingin Anak Suka Sayur dan Buah,fimela.com,11 Sep 2019,14:15 WIB,Parenting,-," Sayur dan buah merupakan , serta gizi yang sangat penting buat semua orang terkhusus buat anak-anak. Dalam sayuran dan buah-buahan mengandung nutrisi yang sangat bermanfaat untuk menunjang tumbuh kembang anak.,Meski sayur dan buah sangat penting buat anak, tidak sedikit anak yang begitu membenci sayur dan buah. Tidak sedikit anak yang sama sekali tidak mau makan sayur dan buah.,Ketika mendapati anak tidak suka makan sayur dan buah, banyak orangtua yang mengeluhkan hal ini. Lantas bagaimana caranya agar anak mulai menyukai sayur dan buah? Apakah orangtua harus memaksa anak makan sayur dan buah?,Menurut ahli gizi sekaligus Ketua Umum Perhimpunan Pakar Gizi dan Pangan, Hardinsyah, agar anak menyukai sayuran dan buah-buahan, orangtua pentingnya mencontohkan bagaimana itu mambiasakan diri makan sayur dan buah. Ketika anak tidak suka sayur dan buah, besar kemungkinan orangtuanya juga tak menyukai sayur dan buah.,Hardinsyah mengatakan, ""Kalau anak tidak suka sayur dan buah, bisa jadi papa dan mamanya tidak suka sayur dan buah. Anak merekam segala hal yang dilihatnya terutama mengenai orangtua. Anak juga merekam apa yang disukai dan tidak disukai orangtuanya termasuk kesukaan terhadap sayur dan buah."",Melansir dari laman ,, jika orangtua ingin anaknya menyukai sayur dan buah, orangtua harus memberi contoh kebiasaan baik konsumsi sayur dan buah dalam kehidupan sehari-hari.,Saat Mom menyusui, penting juga baginya untuk memperbanyak konsumsi sayur dan buah. Apa yang dimakan Mom selama menyusui bisa berpengaruh pada rasa ASI (Air Susu Ibu). Anak juga bisa merasakan makanan apa saja yang disukai Mom dan , apa yang tidak disukai.,#GrowFearless with FIMELA",https://www.fimela.com/parenting/read/4059995/orangtua-wajib-memberi-contoh-jika-ingin-anak-suka-sayur-dan-buah
FIMELA FEST 2019: Hubungan Mindfull Parenting Terhadap Kecerdasan Sensorik Anak,fimela.com,12 Sep 2019,20:00 WIB,Parenting,-," Orangtua masa kini sudah mulai piawai mencari pedoman mengasuh ,, salah satu yang bisa digunakan adalah mindfull parenting. Dalam pola asuh ini memungkinkan ibu dan anak memiliki keterikatan dan kedekatan yang lebih dalam. Ibu dapat memahami sang anak begitupun sebaliknya.,Untuk memulai mindfull parenting, ibu bisa mengajak sang anak bermain bersama. Berikan permainan yang dapat merangsang kecerdasan sensorik anak. Kegiatan sensorik adalah aktivitas yang merangsang indera anak seperti sentuhan, bau, rasa, gerakan, keseimbangan, penglihatan, serta pendengaran yang bermanfaat bagi pertumbuhan dan perkembangan anak.,Orangtua dapat mengaplikasikan mindfull parenting dengan memilih permainan seperti membuat kerajinan tangan yang menggunakan mainan bertekstur, warna-warni, dan bentuk-bentuk yang unik. Seperti yang diketahui mainan slime bisa merangsang sensorik ,, namun ibu bisa memilih permainan lainnya yang tidak harus lengket dan berlendir.,Permainan sensorik membantu perkembangan bahasa, pertumbuhan kognitif, keterampilan motorik halus dan kasar, keterampilan pemecahan masalah, dan interaksi sosial. Selain itu, permainan ini dapat membantu menghilangkan kecemasan dan stres pada anak.,Berikut deretan ide permainan seru orangtua dan , yang dapat meningkatkan kecerdasan sensorik anak selain slime, seperti dilansir dari , Kamis (12/9/2019).,Orangtua bisa menyiapkan permainan dari beras yang diwarnai merah, kuning, hijau, dan biru layaknya pelangi. Tempatkan pada mangkuk dan siapkan sendok. Anak bisa menyusun beras-beras ini sesuai warnanya dan menghasilkan sebuah pelangi.,Ibu bisa memberikan contoh dengan membuat terlebih dahulu, kemudian liat bagaimana anak berkreasi. Beras warna-warni ini juga bisa diganti dengan kacang merah, kacang hijau, hingga bulir jangung mentah., ,Untuk permainan ini, ibu membutuhkan cat, sabun, air, dan sedotan. Ajak anak untuk mencampurkan sabun, air, dan cat sesuai keinginannya. Lalu tiup dengan sedotan sehingga menghasilkan karya seni berupa tekstur balon-balon pada sabun. Hal ini akan sangat menarik bagi anak-anak. Lakukan pada anak yang sudah mulai besar karena bisa berbahaya jika terisap., ,Sesuatu yang , dapat merangsang si kecil lebih fokus. Hal ini juga menjadi sangat menyenangkan bagi sang anak. Ibu bisa menggunakan pasta, cat glow in the dark, tusuk kayu, dan tambahan mata palsu untuk boneka. Untuk memudahkan si kecil, ibu bisa merangkai bahan-bahan berbentuk kupu-kupu.,Setelah itu anak bertugas mewarnai kupu-kupu dan lihat bagaimana mainan ini akan menyala di dalam kamar saat keadaan gelap. Permainan ini akan merangsang kreativitas anak dan membuatnya bersemangat.,Untuk memahami lebih dalam tentang ,, yuk, daftarkan diri kamu , dan raih kesempatan untuk menghadiri FIMELA FEST 2019.,#GrowFearless with Fimela",https://www.fimela.com/parenting/read/4061471/fimela-fest-2019-hubungan-mindfull-parenting-terhadap-kecerdasan-sensorik-anak
FIMELA FEST 2019: Batasi Anak Main Gadget Bentuk Mindful Parenting?,fimela.com,13 Sep 2019,18:11 WIB,Parenting,-," Bicara tentang ,, mungkin kamu telah sering mendengar berbagai tips dan serba- serbi dalam membesarkan anak atau bagaimana menjadi orangtua yang baik. Salah satu yang sedang banyak menjadi fokus adalah membatasi waktu anak untuk bermain gadget, apa kamu juga melakukannya?,Sebuah penelitian terbaru menemukan bahwa remaja menghabiskan waktu lebih dari tiga jam dalam sehari di media sosial dan hal ini berisiko lebih tinggi terhadap masalah kesehatan mental. Hal yang seharusnya menjadi fokus pada ,.,Melansir dari ,, Jumat (13/9/2019), penelitian yang dilakukan oleh para peneliti di Universitas John Hopkins dan diterbitukan di JAMA Psychiatry telah meneliti lebih dari 6.400 penggunaan media sosial pada remaja di Amerika Serikat selama 3 tahun.,Dari penelitian tersebut, mereka menemukan tren yang mengkhawatirkan, bahwa remaja yang menghabiskan waktu lebih dari tiga jam untuk bermain gadget lebih mungkin menekan perasaan mereka, seperti kecemasan dan depresi. Jika dikaitkan dengan ,, hal ini menghalangi mereka untuk mendapatkan bantuan yang dibutuhkan., ,Terdengar cukup familiar, bukan? Karena berbagai studi yang pernah dilakukan sebelumnya memang telah mengaitkan antara perasaan kesepian dan berkurangnya harga diri dengan penggunaan media sosial.,Alasannya beragam, bisa karena kebutuhan untuk disukai sangat melelahkan, sementara yang lain terpaku pada kehidupan ""menyenangkan"" yang dibagikan oleh orang lain di media sosial. Sayangnya, membatasi waktu di media sosial pada remaja bukan termasuk ke dalam mindful parenting.,Membatasi waktu di media sosial bisa dijadikan sebagai langkah awal, namun orangtua juga harus memberi contoh dengan menghabiskan lebih sedikit waktu pada gadget mereka. Apakah ini mudah? Tidak.,Kamu ingin tahu lebih lanjut tentang mindful parenting? Yuk, , dan dapatkan kesempatan untuk hadir di Fimela Fest 2019!,#GrowFearless with FIMELA",https://www.fimela.com/parenting/read/4062194/fimela-fest-2019-batasi-anak-main-gadget-bentuk-mindful-parenting
"Jalan Kaki hingga Yoga, Ini 5 Olahraga Terbaik untuk Ibu Hamil",fimela.com,12 Sep 2019,14:45 WIB,Parenting,-," Olahraga merupakan aktivitas yang sangat penting dilakukan semua orang demi dapatkan tubuh sehat, bugar dan mengesankan. Olahraga juga sangat dianjurkan untuk rutin dilakukan ,.,Demi menjaga kesehatan tubuh, membantu melancarkan proses persalinan dan menguatkan janin di kandungan, olahraga sangat penting dilakukan oleh ibu hamil. Namun perlu diingat, tidak semua olahraga cocok untuk ibu hamil.,Melansir dari laman,, ada beberapa olahraga yang dipercaya sebagai olahraga terbaik untuk ibu hamil. Seorang ahli kandungan di ,, Dr Rita Bakshi, mengatakan jika sedikitnya ada lima jenis olahraga yang baik untuk ibu hamil.,Olahraga terbaik untuk ibu hamil yang pertama ada jalan kaki. Dr Bakshi mengungkapkan jika jalan kaki rutin setiap pagi selama kehamilan bisa memperlancar peredaran darah dalam tubuh dan meringankan nyeri selama proses persalinan.,Olahraga selanjutnya yang terbaik untuk ibu hamil adalah menari. Tak hanya menyehatkan, olahraga satu ini juga begitu menyenangkan.,Para ahli menemukan jika menekuni olahraga pilates selama kehamilan atau pun sebelumnya bisa membantu seseorang merasa rileks saat proses persalinan Pilates dipercaya bisa mengurangi nyeri otot perut, mengurangi sakit punggung dan melancarkan persalinan.,Ibu hamil disarankan untuk rutin melakukan yoga. Yoga bermanfaat menurunkan risiko stres, depresi dan otot kaku selama kehamilan maupun saat proses persalinan.,Ada senam khusus untuk ibu hamil. Senam khusus ibu hamil ini bermanfaat membuat tubuh sehat. Senam juga bermanfaat meningkatkan tumbuh kembang janin di kandungan,,Itulah beberapa olahraga terbaik untuk ,. Selain olahraga di atas, olahraga lain yang juga baik untuk ibu hamil antaranya renang, aerobik atau zumba dan latihan kegel. Semoga informasi ini bermanfaat.,#GrowFearless with FIMELA",https://www.fimela.com/parenting/read/4061003/jalan-kaki-hingga-yoga-ini-5-olahraga-terbaik-untuk-ibu-hamil
Kekebalan Tubuh Ibu Selama Kehamilan Pengaruhi Kecerdasan Anak,fimela.com,18 Sep 2019,14:20 WIB,Parenting,-," Momen , menjadi salah satu momen paling mengesankan buat setiap perempuan. Saat hamil, setiap ibu disarankan menjaga kesehatan fisik dan psikisnya dengan sebaik mungkin. Para ahli menyarankan agar ibu senantiasa memiliki sistem kekebalan tubuh yang baik agar terhindar dari berbagai masalah kesehatan.,Melansir dari laman ,, sistem kekebalan tubuh ibu selama kehamilan bisa memengaruhi tumbuh kembang otak anak. Sistem kekebalan tubuh ibu ini juga berpengaruh besar terhadap kecerdasan anak.,Ada berbagai dampak buruk yang bisa terjadi ke tubuh jika ibu hamil memiliki sistem kekebalan tubuh yang buruk atau tidak maksimal. Penelitian menemukan jika sistem kekebalan tubuh yang buruk selama kehamilan bisa menyebabkan beberapa komplikasi pada ibu maupun janin yang di kandungnya.,Ibu dengan sistem kekebalan tubuh rendah, tingkat stres dan depresi tinggi serta pola hidup tak sehat rentan mengalami persalinan dini bahkan keguguran. Janin di kandungan juga tak bisa mendapat asupan oksigen serta nutrisi yang baik sehingga besar kemungkinan mengalami gangguan perkembangan otak.,Menurut penelitian yang diterbitkan dalam , disebutkan jika sistem kekebalan tubuh ibu selama ,berdampak pada kesehatan dan perkembangan otak bayi. Stres dan depresi selama kehamilan bisa meningkatkan risiko anak mengalami autisme, hiperaktif dan skizofernia.,#GrowFearless with FIMELA",https://www.fimela.com/parenting/read/4065619/kekebalan-tubuh-ibu-selama-kehamilan-pengaruhi-kecerdasan-anak
"FIMELA FEST 2019: Bagian dari Mindful Parenting, Kenali Tanda-Tanda Anak Jadi Tukang Bully",fimela.com,20 Sep 2019,13:00 WIB,Parenting,-," Seperti yang pernah dibahas sebelumnya, , adalah tentang bagaimana menjadi sosok orangtua yang baik bagi anak, sekaligus membesarkan sosok anak yang baik. , memang merupakan bahasan yang luas dan erat kaitannya dengan ,Nyatanya, anak juga bisa menjadi salah satu tukang ,, bagaimana cara mengenalinya? Dilansir dari ,, Jumat (20/9/2019), berikut ini adalah beberapa tanda untuk mengenali anak tukang ,, sebagai bagian dari ,, penasaran?,Guru bisa menjadi pemerhati perilaku antisosial dari anak. Ketika guru mengeluhkan sesuatu tentang anak, jangan langsung dibantah, tukang , sering memilih cara yang tidak terlalu menyenangkan untuk berinteraksi dengan teman sebaya mereka.,Cara terbaik untuk mengatasi hal ini adalah dengan diskusi tebuka dan menghindari pembelaan diri. Pahami bahwa informasi yang diberikan guru adalah cara untuk membantu anak., biasanya adalah kegiatan berkelompok, sehingga ketika anak memilih untuk bergaul dengan anak-anak lain yang agresif, ini adalah cara mereka untuk saling melengkapi satu sama lain. Langkah pertama yang harus kamu ambil adalah berbicara dengan anak, coba cari tahu apa yang menarik mereka masuk ke dalam kelompok tersebut, dan bagaimana memenuhi kebutuhan tersebut dengan cara yang lebih sehat sebagai bagian dari ,., ,Ketika anak melakukan sesuatu yang tidak baik pada anak lain, lihat apa yang dilakukannya setelahnya? Apa mereka meminta maaf atau justru melakukan pembenaran?,Jika yang terjadi adalah yang terakhir, kemungkinan besar mereka tidak menyesal dan terbiasa melakukan intimidasi. Doronglah anak untuk lebih bertanggung jawab atas tindakan mereka secara positif.,Anak tukang , biasanya memiliki emosi yang cepat tersulut dan sulit bersabar. Berikan anak lingkungan yang aman dan terjamin agar mereka lebih mudah memadamkan amarah dan memahami pentingnya bersabar.,Terkadang korban , memutuskan untuk membalaskan dendam mereka dengan menjadi tukang , Sebenarnya ini adalah lingkaran setan yang sangat umum.,Ingin tahu lebih banyak tentang ,? Daftarkan dirimu segera dan dapatkan kesempatan untuk hadir di Fimela Fest 2019 ,!,#GrowFearless with FIMELA",https://www.fimela.com/parenting/read/4066827/fimela-fest-2019-bagian-dari-mindful-parenting-kenali-tanda-tanda-anak-jadi-tukang-bully
